questionText,cleaned_question,emotion_label
"Me and my girlfriend just broke up. She said she loves me but is not in love anymore. This came out of nowhere. We seemed so happy together.
It all started when she went to Missouri to visit her family. The first week she was there she was fine then once she went to this one sister’s house everything changed. That's when she told me she loved me but was not in love with me anymore. I thought maybe it was just because she missed her family and she just wanted to be home because she told me that she could not leave them again.
Then she told me to come to her in Missouri. So that's what I did. I quit my job I dropped everything, said goodbye to my family in Florida and drove 15 straight hours to be with her.
Once I got there everything was fine again.  She apologized for everything and said she didn't mean any of it then we were good for about a week. Then she went back to saying she didn’t love me anymore and had no feelings for me.
The only thing that really gets me and makes me not want to accept this is that now she is pregnant. This wasn’t an accident. We were trying to get pregnant, so all this is hard to accept. I love her so much. I have never been bad to her. I've treated her the best I can. I wanted her to be my wife. I was going to propose to her when she got back. Now I'm losing my family and my mind. I don't know what to do.",girlfriend broke said love love anymore came nowhere seemed happy together started went missouri visit family first week fine went one sister house everything changed thats told loved love anymore thought maybe missed family wanted home told could leave told come missouri thats quit job dropped everything said goodbye family florida drove straight hour got everything fine apologized everything said didnt mean good week went back saying didnt love anymore feeling thing really get make want accept pregnant wasnt accident trying get pregnant hard accept love much never bad ive treated best wanted wife going propose got back im losing family mind dont know,sadness
Now I have anger and trust issues. How can I treat this and fix myself?,anger trust issue treat fix,sadness
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.",ive never able talk parent parent sixty teenager love personality feel take seriously whenever talk serious event life dad doesnt believe mom go along dad act like doesnt believe either im pansexual cant trust parent ive fought depression however stress anxiety killing feel friend dont listen know problem best help dont always try help mine really need feel childhood taken feel one trust,sadness
"I have been with this guy on and off for 8 years. At first, we used to do things together and our sex life was ok. Then things started to change, we'd break up and reconnect, and he cheated on me numerous times.  We've also had two beautiful baby girls during this time. Now we argue and he says I am not affectionate at all or I don't know how to please a man, when I work part-time, take care of a 2 year old and a 5 month old and cook. Sometimes he cooks, but he also spends a lot of time on the internet. In addition, I have 2 boys and he has 1 son. I feel somewhere I have lost something. It's not that I don’t care, I truly love this guy, but I'm just tired of being the one who is always being judged. Please, I am in need of a Christian counselor to help us because I really need to speak to someone.",guy year first used thing together sex life ok thing started change wed break reconnect cheated numerous time weve also two beautiful baby girl time argue say affectionate dont know please man work parttime take care year old month old cook sometimes cook also spends lot time internet addition boy son feel somewhere lost something dont care truly love guy im tired one always judged please need christian counselor help u really need speak someone,sadness
,nan,optimism
"My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones. He explained one of his dreams the other day and it was so violent it was sickening. It was far beyond anything in a horror movie, he says he can't help these thoughts they just pop up. Please help!",son claim he extremely violent thought dream violent like he hurting someone violent thought like horrible thing happening loved one explained one dream day violent sickening far beyond anything horror movie say cant help thought pop please help,joy
"Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.",whenever leave girlfriend get panic attack im taking medication control im thinking moving since get anxious,sadness
I need to get on base to see my doctor. My ID card was in my wallet which was stolen. I’m unable to reach my husband at this time. He is only one who can take me on base in order to get a new ID so I can continue to see doctor. Is there anything I can do?,need get base see doctor id card wallet stolen im unable reach husband time one take base order get new id continue see doctor anything,sadness
"I’ve known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he even asked me to move in with him since I lived out of state. I planned to move in with him in 2014 after I finished school and he found a job. However, during this time we had a few arguments and broke up with each other for a short period of time. We decided later to make it work. Shortly after, I found out that I was pregnant. I wanted to tell him during his next visit. However, he never came to see me and instead asked me for money. After I gave him money, he quit answering my phone calls and texts. 

Soon after, I experienced a miscarriage. I texted him about what had happened, and he didn’t seem to care. I was extremely hurt by this. I still decided to move back as I had originally planned. He helped me with the move and replaced the money I had lent him. During this time, I asked if he wanted to be in this relationship because I needed to know. Although he says he did, I hardly ever see him. He never got a job, which was in the original plan.  

After that, we both started seeing other people for a short amount of time but once again got back together. Once we got back together, I cut all ties with the former relationship I had been in. I thought he had too. But I found out that he did not attempt to do as I did and was still talking with another woman. In fact, he had even sent inappropriate pictures to her. When I confronted him about this, he wasn’t apologetic. He said that he only did it to get even with me and was actually mad at me for looking through his phone. He even closed his car window on my finger and tried to throw me out of his car. I don’t know what to do.",ive known boyfriend several year friend long time started relationship even asked move since lived state planned move finished school found job however time argument broke short period time decided later make work shortly found pregnant wanted tell next visit however never came see instead asked money gave money quit answering phone call text soon experienced miscarriage texted happened didnt seem care extremely hurt still decided move back originally planned helped move replaced money lent time asked wanted relationship needed know although say hardly ever see never got job original plan started seeing people short amount time got back together got back together cut tie former relationship thought found attempt still talking another woman fact even sent inappropriate picture confronted wasnt apologetic said get even actually mad looking phone even closed car window finger tried throw car dont know,sadness
"I am going through a divorce from a narcissistic sociopath who left me for another woman after mentally and emotionally abusing me for 11 years. I have moved to a different state and after giving up my successful business am working as a server at a restaurant. I’m coping as best as I can. Is it normal and healthy to not adapt as quickly and be as strong as I think I should be? I am astounded at his cruelty and how much he doesn't care, as well as most other people in my life. I feel like I don't exist to anyone anymore as there is no contact from anyone who I thought cared about me. My brother just said no to lending me a few hundred dollars for me to live on. I am losing faith in humanity itself.",going divorce narcissistic sociopath left another woman mentally emotionally abusing year moved different state giving successful business working server restaurant im coping best normal healthy adapt quickly strong think astounded cruelty much doesnt care well people life feel like dont exist anyone anymore contact anyone thought cared brother said lending hundred dollar live losing faith humanity,sadness
"I've been married for 3 years and I have two kids. During my 3-years married, my husband cheated on me twice.  The second time really got to me and at my lowest I hurt him back. We aren't communicating as well as I would like. What do I do?",ive married year two kid year married husband cheated twice second time really got lowest hurt back arent communicating well would like,sadness
"I have been with my husband for almost 7 years. We got engaged a little after 5 years of being together. I had always been clear that I wanted to get married and I sadly would drop hints about how i wanted him to propose. 
When he did propose it was during a random vacation that I had planned. I was happy but I couldn't help feeling disappointed too.
I had told him numerous times before that I wanted him to do it in front of my friends and family. I know it sounds dumb to be upset but I couldn't help how I was feeling.
We are now married but the wedding and ring were also far from what I wanted and it wasn't due to lack of funds.  I know this is all material and the marriage is the most important thing but I cant help but get jealous and envious every time I see someone get a proposal or wedding that I had wanted.
I cant help my anger because I know we only get one proposal and one wedding. What I wanted will never happen.
I have been working on my feelings for the past year and half to get over it. I try to focus on our marriage but every time I see someone have the best proposals and weddings I get upset.
I know it is selfish and I know its petty but I just can't control it. It's ruining our relationship because I constantly think about it. Plus, I get mad at him for small things because I am trying to hide the fact that I am so disappointed. 
Why can't I move on?",husband almost year got engaged little year together always clear wanted get married sadly would drop hint wanted propose propose random vacation planned happy couldnt help feeling disappointed told numerous time wanted front friend family know sound dumb upset couldnt help feeling married wedding ring also far wanted wasnt due lack fund know material marriage important thing cant help get jealous envious every time see someone get proposal wedding wanted cant help anger know get one proposal one wedding wanted never happen working feeling past year half get try focus marriage every time see someone best proposal wedding get upset know selfish know petty cant control ruining relationship constantly think plus get mad small thing trying hide fact disappointed cant move,sadness
What can I do to stop grieving my mother’s death?  When I am awake I just cry every day. I don't have anyone to talk to. I need help; I am still cry over her.  Will I ever stop crying? It’s been 3 years.,stop grieving mother death awake cry every day dont anyone talk need help still cry ever stop cry year,sadness
"I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. 

I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help me. Could you please give me advice?",im issue relative police never believe experience kid ive even trouble trying reach therapist said wanted get adult help could please give advice,sadness
My wife just last week said she wants a divorce and it's all sudden. I understand that marriages have their ups and downs but I don't understand why she can't tell me why she wants a divorce. Should I fight for my family (daughter and wife)?,wife last week said want divorce sudden understand marriage ups down dont understand cant tell want divorce fight family daughter wife,sadness
I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,loved anything passed away anniversary also day going apply apartment im handling well moved new town started new life nothing help,sadness
I did some horrible sexual things as a kid and I regret everything. Can someone help me cope with myself? Can someone help me remember my past?,horrible sexual thing kid regret everything someone help cope someone help remember past,joy
"I have been with a guy for 4 years,  he's a great guy and we also have a son together. The problem is that I'm in love with a guy that I've been talking to for about 2 years but I've never met him in person. Honestly I'm bored with the relationship I have with the first guy and he makes want to go after the second guy, I don't know how to tell him that. What should I do?",guy year he great guy also son together problem im love guy ive talking year ive never met person honestly im bored relationship first guy make want go second guy dont know tell,sadness
My boyfriend can't get over my promiscuous past. He says he loves me  but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to handle this.,boyfriend cant get promiscuous past say love say thought past disgusting sexual distraction say sex different people dont know handle,joy
What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,feeling like could never anyone one would want couldnt many friend strange want loved id hate always lose,sadness
"What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the wall. I am afraid for my daughters safety!",make step child year old boy choke daughter year old girl going year boy tell daughter tell know wrong time spanking taking away toy sitting wall afraid daughter safety,joy
I have this weird fetish that I'm afraid to open up about it. What should I do?,weird fetish im afraid open,sadness
"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?",coworkers making false statement bos saying mood swing proof back employer make see therapist choice,joy
I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.,im state depression right talk ive sick lot pain cry dont know turn,sadness
"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle. 

Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad.  I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it.  I feel rather worthless more often than not, unfortunately.  What do I do?",dad refuse acknowledge anxiety going party dinner etc whenever opinion get shut mom everyone else behaves likewise father head company normal right time blatantly refuse even try see angle recently however getting point feel pressured unable speak mind isnt possible get professional oneonone help tell grow pair get recently developing severe body image selfconfidence issue life feel invalidated dad paranoid lately well cant turn location service anymore phone past incident make feel guilty feel rather worthless often unfortunately,sadness
,nan,optimism
I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,im year old male erection problem still desire woman awfully frustrated suggestion doc doesnt want discus,sadness
My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.,husband cheated hurt bad time health poor im hard time moving,sadness
"I've been abused emotionally all of my life and for some reason I keep getting with men that I let emotionally abused me.
How can I stop it? I know the mistakes that I've made in my life. I'm having a really hard time getting back on my feet. Can you help me please?",ive abused emotionally life reason keep getting men let emotionally abused stop know mistake ive made life im really hard time getting back foot help please,sadness
I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I don't care about having boobs or anything. I just feel like the way that I do act will make more sense if I was a girl.,feel like would comfortable girl even though still like girl think im like girl stuck guy body imagine girl think friend say girl would hot looking one dont care boob anything feel like way act make sense girl,optimism
"I've have lived for sometime with depression but things have gotten a lot better, but why is it so hard to get over anxiety and social isolation?",ive lived sometime depression thing gotten lot better hard get anxiety social isolation,sadness
"Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here in the city. I know she comes from a place of love, but she has always been short-fused and highly temperamental if something doesn't work out the way she planned it. I have tried my best to coordinate plans with her, but she always ends up frustrated about the lack of communication I seem to have on my part and then makes condescending comments about my character that include: inconsiderate, negative, oblivious, and self consumed. 

I have tried to talk to her openly about this, but it always comes back as an attack on my character and I have never heard these comments from anyone else before. I have been thinking a lot about her comments and whether I truly am an inconsiderate person who is not thoughtful, spatially aware of surroundings/people, or positive, but in the end, I am feeling awfully hurt about how this has affected our relationship. 

What can I do?",hello cousin family making feel belittled insecure frustrated stay city know come place love always shortfused highly temperamental something doesnt work way planned tried best coordinate plan always end frustrated lack communication seem part make condescending comment character include inconsiderate negative oblivious self consumed tried talk openly always come back attack character never heard comment anyone else thinking lot comment whether truly inconsiderate person thoughtful spatially aware surroundingspeople positive end feeling awfully hurt affected relationship,joy
"I have a child with my baby mother. She works I take care of our young son. She says she is not cheating I have not found anything but she always putting me down, telling me to get out and telling me she doesn't love me, but then the next day after our fight she says she does. I'm having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops. Now me and my family don't talk. She's always telling me I'm annoying and just belittles me. Nothing I do is right.

She says I work you watch the baby. On her days off she never cooks or cleans. I have no friends or family and a couple months ago she was confiding to some guy, but says he's not any thing to her. What do I do? I don't want to leave.",child baby mother work take care young son say cheating found anything always putting telling get telling doesnt love next day fight say im hard time child said raped family member never went hospital cop family dont talk shes always telling im annoying belittles nothing right say work watch baby day never cook clean friend family couple month ago confiding guy say he thing dont want leave,joy
"Or how to send him somewhere that can help him, something like The Baker Act.",send somewhere help something like baker act,anger
"In particular during family gatherings (such as funerals), where there are different customs.",particular family gathering funeral different custom,optimism
"I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything. 

All I usually do is stay in my room. I want to be happy, I want to be nice. What's wrong with me?",dont know whats wrong time really happy excited ill talk fast want thing lately ive staying way later sleeping much dont hang friend dont really feel nothing worthless want nothing interest anything usually stay room want happy want nice whats wrong,sadness
I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,im worried see therapist due past event current mental status im unsure ask doctor seeing someone,sadness
I feel like my time is going too fast,feel like time going fast,sadness
I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,im worried see therapist due past event current mental status im unsure ask doctor seeing someone,sadness
"My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know something's wrong with me but I don't know how to even start trying to better myself.
I get into these depressed like states whenever anyone I care about is too busy to be with me. I know that I shouldn't act like that because people are genuinely busy, but I feel like they're doing it just because they don't want to be around me.",last relationship ended horribly abandoned one never gotten closure leaving emotionally wrecked know somethings wrong dont know even start trying better get depressed like state whenever anyone care busy know shouldnt act like people genuinely busy feel like theyre dont want around,sadness
I haven't uttered one word to my boyfriend in days. Now I'm over it and don't know how to approach the situation?,havent uttered one word boyfriend day im dont know approach situation,sadness
"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames me for everything.
I’m always there when he needs my help. He tells me although I help him doesn’t mean that I am a good person. He always discredits me as a woman and it’s hurtful. I spend most day crying and feeling lonely. I am unhappy and unsure of what I need to do.",ive boyfriend year cheated woman pregnant physically mentally abusive towards attempted talk order resolve issue however never want talk often blame everything im always need help tell although help doesnt mean good person always discredit woman hurtful spend day cry feeling lonely unhappy unsure need,sadness
"I started dating a guy I met online. He told me that he registered sex offender but he didn't do anything. He took a plea to always register as sex offender and he did two years. That was more than two decades ago. Nothing on his record since.
I always believe the past should be left in past. But my roommates, their family and my son are unforgiving. Should I forgive this man that I'm falling in love with or should I dump him? If I stay with him I will never see my family and granddaughter again.",started dating guy met online told registered sex offender didnt anything took plea always register sex offender two year two decade ago nothing record since always believe past left past roommate family son unforgiving forgive man im falling love dump stay never see family granddaughter,sadness
"About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them.
How can I stop thinking about them and don't let it get in my head? My parents said I don't weight that much but, they do think I am fat but, they tell me I am not. I told my parents that I need to go to a therapist, but they think I am fine and I think they don't want to deal with it.",year ago skinny still ugly really want change ive tried time try dont stop school get bullied weight ugliness bullied whole life believe stop thinking dont let get head parent said dont weight much think fat tell told parent need go therapist think fine think dont want deal,sadness
"A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great personality, etc. I really started to feel better about myself by the time I woke up the next morning.
Now, though, I can't stop thinking about her, but I leave to go back to college in a few days and I go to school 4 hours away from her. So now I feel constantly depressed because even if I told her how I felt it wouldn't matter. I feel helpless and I don't know what to do.",night ago talked girl know self esteem issue first time talked hour told time great guy told attractive great personality etc really started feel better time woke next morning though cant stop thinking leave go back college day go school hour away feel constantly depressed even told felt wouldnt matter feel helpless dont know,sadness
"She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?",cried lost trust feel disgusting like heart got stabbed,joy
"When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?",sex think men want men day long married year together think,optimism
,nan,optimism
We make love once per month. Is it normal?,make love per month normal,optimism
"In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreasonable and I am simply annoying my reasonable friends. Or are they really being insensitive and not respecting me in our friendship?",argument friend im wondering im exaggerating feeling feel like im attacked making blow thing proportion taking role victim reality im one unreasonable simply annoying reasonable friend really insensitive respecting friendship,joy
I am always down and out. Could this be postpartum depression?,always could postpartum depression,sadness
"I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren.
Now this event is tearing us apart. I want our family to be together and happy. It was a mistake from so long ago. My wife wants to leave and I don't want that to happen I love her so much. Please help me save my marriage. Even my 3 boys want us to work it out. They love us both and want our family together. Please give me some advice or hope. Sincerely heart broken.",married beautiful lady love wife heart boy daughter previous marriage also grandchild event tearing u apart want family together happy mistake long ago wife want leave dont want happen love much please help save marriage even boy want u work love u want family together please give advice hope sincerely heart broken,sadness
We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,communicate one u trouble accepting person say fix thing,joy
"My wife and I are newly married, about 2 months. We've had some issues surrounding sex, particularly her lack of libido. She's on an anxiety medication, of which diminished libido is a side effect, but I think our issue is also partly one of a lack of intimacy/romance centered around my hectic schedule. Our sex life has suffered as a result.
Tonight she made a genuine effort to let me know she wanted sex, which is a big deal. Once things started, she had the most obviously fake orgasm I've ever encountered. I was honest with her about why, and told her that the most important thing to me in sex was knowing that she was legitimately enjoying it. She responded angrily with a complete denial of the faking. I don't know how to broach this subject and have an honest conversation. I think she will continue to lie to me about faking it which will cause our sex life to spiral further. Please help.",wife newly married month weve issue surrounding sex particularly lack libido shes anxiety medication diminished libido side effect think issue also partly one lack intimacyromance centered around hectic schedule sex life suffered result tonight made genuine effort let know wanted sex big deal thing started obviously fake orgasm ive ever encountered honest told important thing sex knowing legitimately enjoying responded angrily complete denial faking dont know broach subject honest conversation think continue lie faking cause sex life spiral please help,sadness
,nan,optimism
"I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. 
Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?",im always told im good enough trying hard enough put every thing im worn ive worked family relationship im great school im kind need otherwise stick religious belief leave room mistake learn others dont make many one learn somehow still good enough nothing work nothing changed feel hopeless suggestion idea,sadness
"I'm always told I'm not good enough or trying hard enough. I put 100% in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. 
Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?",im always told im good enough trying hard enough put every thing im worn ive worked family relationship im great school im kind need otherwise stick religious belief leave room mistake learn others dont make many one learn somehow still good enough nothing work nothing changed feel hopeless suggestion idea,sadness
"He's been losing feelings and he doesn't know why. I love him very very much. He sometimes thinks I'm obsessed when I'm not at all. I give him his space and I make sure he's okay but  sometimes I think if me and him saw each other more it would be better?
I truly want me and him to get better, it's kind of hard not to stress about it, because the love of my life is losing feelings which is a sad feeling. He's a great guy! I just don't know why he's been losing feelings towards me. He's starting to put less effort in talking to me.
At this point I'll do anything to just make us better as a couple. I tried talking to him but he doesn't like talking about it much. Advice on what to do?",he losing feeling doesnt know love much sometimes think im obsessed im give space make sure he okay sometimes think saw would better truly want get better kind hard stress love life losing feeling sad feeling he great guy dont know he losing feeling towards he starting put less effort talking point ill anything make u better couple tried talking doesnt like talking much advice,sadness
,nan,optimism
"I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?",want secure relationship someone want actually put effort seem gravitate toward unavailable men want intimacy relationship let men dictate control accuse controlling let men emotionally abuse beck call comfortable alone anything feel need security someone around survive know im wrong anyway hoping thing change stop behavior thought process,sadness
"I regret ever hurting her and they mean the world to me. But it feels like nothing I do seem to work.
I'll always love them no matter what and when I'm with them nothing else matters. I love them more then anything. I don't want another guy raising my kids.",regret ever hurting mean world feel like nothing seem work ill always love matter im nothing else matter love anything dont want another guy raising kid,joy
I have dog obsession disorder and I am having problems with my girlfriend because I am placing more importance to my two dogs over her. How do I get over this problem and prioritize my girlfriend over my two dogs?,dog obsession disorder problem girlfriend placing importance two dog get problem prioritize girlfriend two dog,sadness
I find myself lying about small everyday things that there is really no need to lie about. How do I figure out what triggers me to do this? And how do I help overcome this problem? I would like to become more honest and open no matter the situation.,find lying small everyday thing really need lie figure trigger help overcome problem would like become honest open matter situation,sadness
,nan,optimism
I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,ive like ever since school back transferred another school im thinking changing job,sadness
"I keep hearing I am attractive from people around me, and I think I believe it. But I have low confidence regarding approaching girls I like.",keep hearing attractive people around think believe low confidence regarding approaching girl like,sadness
We have been fighting a lot and have 3 kids but we both want to stay together. I need some help to save our family.,fighting lot kid want stay together need help save family,sadness
